X,Y
3.95366543,65.14347752
3.924531568,63.48284741
4.36735758,72.97393006
4.316694309,71.33612365
5.025126087,65.15094551
4.85733616,63.40270913
5.246323142,70.57496714
5.224787531,69.34743729
5.164464662,68.09653377
5.379878669,72.93763214
5.35886408,71.73980058
5.274805725,66.94847437
5.280834704,62.79212616
6.318480673,83.1879464
6.230101137,81.58781284
5.990170111,65.72424433
5.969155522,64.52641278
6.258323209,70.50897092
6.23730862,69.31113936
6.216294031,68.11330781
6.634574077,86.26777041
6.604282387,84.97864408
6.392399758,72.90133421
6.371385169,71.70350266
6.287326814,66.91217645
6.142519676,63.15816953
6.564002978,79.79521777
6.658589,73.93950565
6.545780872,62.25944232
6.411195657,60.58520049
7.231602179,87.98587224
7.319820446,83.76431347
7.298805858,82.56648192
7.277791269,81.36865036
6.680525399,65.69949574
6.980460891,64.42081881
7.419856835,78.96638763
7.359295164,77.70187239
7.03348944,70.36011276
6.78959285,69.29134049
6.768578262,68.09350894
7.637991739,86.15007714
7.654295412,84.89188654
7.509024108,76.6114222
7.448339418,75.33989486
7.390679555,72.05328267
6.839611045,66.89237758
7.15850598,63.19438889
7.690160823,80.23909952
7.263897326,59.57669562
7.243664272,58.42341152
7.676694386,74.22151262
7.562165545,72.90298412
7.490021247,61.9657591
7.469006658,60.76792755
8.297499802,88.60742133
8.247055056,87.11668619
7.997700131,83.90345552
7.897113774,82.54503314
8.057328303,81.1772613
8.491552613,78.21971364
8.043347523,56.75535684
8.599336805,86.6967459
8.169261381,84.93244672
8.523455615,76.68401806
8.462770924,75.41249071
8.622203919,79.25017142
8.330531666,59.30906354
8.194062069,57.99608594
8.695681502,74.55377825
8.194965175,73.272563
8.178726629,72.34696589
8.042305477,61.94596023
8.594068685,60.14646306
8.571273935,55.67528731
9.260109573,89.36079367
9.274928331,87.8429629
9.051874103,77.49137192
9.076883201,76.29189046
9.097550441,53.84492315
8.859442994,58.6477987
9.252641578,57.43511799
9.503253573,55.97000171
9.482238985,54.77217016
10.27263066,89.32449574
10.2453638,87.77028456
9.897667878,52.20161705
10.27499263,53.75912805
10.3938336,50.95181347
10.41104907,55.21434489
11.27091046,88.4764442
11.24989587,87.27861265
11.17094755,86.41317364
10.844678,49.04884133
11.11234584,53.18826067
11.09133125,51.99042912
11.16166933,50.74970002
11.30925774,49.7122393
11.45901625,46.69847437
12.28047909,88.27185589
12.1699875,86.87383578
12.15091807,75.63687789
12.120829,73.9218009
11.83852765,48.08062396
12.5986938,85.41009442
11.9795124,45.19487994
11.86939205,43.83989486
12.12936509,50.78335809
12.06145651,49.53756928
12.24669401,42.04923156
12.87783179,88.19596023
13.31104729,86.34757696
13.16343916,75.60057997
13.13335009,73.88550297
12.58406174,40.82606708
12.4666742,39.49435255
12.72273398,48.05730771
12.74818394,46.68103251
13.68113739,84.85937946
12.93171906,45.18420138
12.87722393,43.53631221
13.55160119,66.22581567
13.52481193,64.69882792
13.18233709,38.28713716
13.05868255,37.00445332
13.30997684,41.95322767
14.25435415,85.68658055
14.03788919,75.56923176
14.00780012,73.85415476
13.63831574,40.28619205
14.44970131,83.55502293
13.51825572,45.95012428
13.49724114,44.75229273
13.70498039,43.46843038
13.96994533,36.44643163
13.90586017,34.74752495
14.5639486,66.17961831
14.53720276,64.65510542
14.16807811,38.76884618
14.18616361,37.42712381
13.9135384,42.23123679
15.26455067,85.11393635
14.16675551,40.91461202
15.42111804,83.53827638
15.00995331,35.78609719
14.92414907,34.21104508
14.90313448,33.01321353
